Metal,Substrate,theta,Temp,Me_MagpieData mean Number,Me_MagpieData mean MendeleevNumber,Me_MagpieData mean AtomicWeight,Me_MagpieData mean MeltingT,Me_MagpieData mean Column,Me_MagpieData mean Row,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NsValence,Me_MagpieData mean NpValence,Me_MagpieData mean NdValence,Me_MagpieData mean NfValence,Me_MagpieData mean NValence,Me_MagpieData mean NsUnfilled,Me_MagpieData mean NpUnfilled,Me_MagpieData mean NdUnfilled,Me_MagpieData mean NUnfilled,Me_MagpieData mean GSvolume_pa,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean Number,Ce_MagpieData mean MendeleevNumber,Ce_MagpieData mean AtomicWeight,Ce_MagpieData mean MeltingT,Ce_MagpieData mean Column,Ce_MagpieData mean Row,Ce_MagpieData mean CovalentRadius,Ce_MagpieData mean Electronegativity,Ce_MagpieData mean NsValence,Ce_MagpieData mean NpValence,Ce_MagpieData mean NdValence,Ce_MagpieData mean NfValence,Ce_MagpieData mean NValence,Ce_MagpieData mean NsUnfilled,Ce_MagpieData mean NpUnfilled,Ce_MagpieData mean NdUnfilled,Ce_MagpieData mean NfUnfilled,Ce_MagpieData mean NUnfilled,Ce_MagpieData mean GSvolume_pa,Ce_MagpieData mean GSbandgap,Ce_MagpieData mean GSmagmom,Ce_MagpieData mean SpaceGroupNumber
Cu0.848Ti0.152,Er2O3,81.40350877,1423,27.936,60.808,61.162792,1446.42096,9.936,4,136.256,1.84528,1.152,0,8.784,0,9.936,0.848,0,1.216,2.064,11.92424,0,3.43E-06,220.288,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Cu0.733Ti0.267,Er2O3,68.77192982,1423,27.131,58.393,59.359707,1513.49241,9.131,4,139.476,1.80388,1.267,0,7.864,0,9.131,0.733,0,2.136,2.869,12.57054,0,6.02E-06,216.723,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Cu0.663Ti0.337,Er2O3,64.56140351,1423,26.641,56.923,58.262177,1554.31851,8.641,4,141.436,1.77868,1.337,0,7.304,0,8.641,0.663,0,2.696,3.359,12.96394,0,7.59E-06,214.553,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Cu0.577Ti0.423,Er2O3,63.15789474,1423,26.039,55.117,56.913783,1604.47629,8.039,4,143.844,1.74772,1.423,0,6.616,0,8.039,0.577,0,3.384,3.961,13.44726,0,9.53E-06,211.887,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Cu0.496Ti0.504,Er2O3,62.45614035,1423,25.472,53.416,55.643784,1651.71792,7.472,4,146.112,1.71856,1.504,0,5.968,0,7.472,0.496,0,4.032,4.528,13.90248,0,1.14E-05,209.376,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Cu0.412Ti0.588,Er2O3,62.10526316,1423,24.884,51.652,54.326748,1700.70924,6.884,4,148.464,1.68832,1.588,0,5.296,0,6.884,0.412,0,4.704,5.116,14.37456,0,1.32E-05,206.772,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Cu,Y2O3,137,1423,29,64,63.546,1357.77,11,4,132,1.9,1,0,10,0,11,1,0,0,1,11.07,0,0,225,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Cu0.877Ge0.123,Y2O3,110,1423,29.369,65.845,64.664562,1339.76649,11.369,4,130.524,1.91353,1.123,0.246,10,0,11.369,0.877,0.492,0,1.369,12.538005,0.047109,0,225,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Cu0.843Ge0.157,Y2O3,90,1423,29.471,66.355,64.973758,1334.78991,11.471,4,130.116,1.91727,1.157,0.314,10,0,11.471,0.843,0.628,0,1.471,12.943795,0.060131,0,225,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Cu0.726Ge0.274,Y2O3,79,1423,29.822,68.11,66.037756,1317.66462,11.822,4,128.712,1.93014,1.274,0.548,10,0,11.822,0.726,1.096,0,1.822,14.34019,0.104942,0,225,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Cu0.647Ge0.353,Y2O3,77,1423,30.059,69.295,66.756182,1306.10139,12.059,4,127.764,1.93883,1.353,0.706,10,0,12.059,0.647,1.412,0,2.059,15.283055,0.135199,0,225,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Cu0.563Ge0.437,Y2O3,68,1423,30.311,70.555,67.520078,1293.80631,12.311,4,126.756,1.94807,1.437,0.874,10,0,12.311,0.563,1.748,0,2.311,16.285595,0.167371,0,225,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Cu0.491Ge0.509,Y2O3,62,1423,30.527,71.635,68.174846,1283.26767,12.527,4,125.892,1.95599,1.509,1.018,10,0,12.527,0.491,2.036,0,2.527,17.144915,0.194947,0,225,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Cu0.258Ge0.742,Y2O3,56,1423,31.226,75.13,70.293748,1249.16346,13.226,4,123.096,1.98162,1.742,1.484,10,0,13.226,0.258,2.968,0,3.226,19.92577,0.284186,0,225,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Cu0.049Ge0.951,Y2O3,50,1423,31.853,78.265,72.194394,1218.57213,13.853,4,120.588,2.00461,1.951,1.902,10,0,13.853,0.049,3.804,0,3.853,22.420185,0.364233,0,225,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Ge,Y2O3,48,1423,32,79,72.64,1211.4,14,4,120,2.01,2,2,10,0,14,0,4,0,4,23.005,0.383,0,225,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Cu,Al2O3,137,1423,29,64,63.546,1357.77,11,4,132,1.9,1,0,10,0,11,1,0,0,1,11.07,0,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.825Ge0.175,Al2O3,132,1423,29.525,66.625,65.13745,1332.15525,11.525,4,129.9,1.91925,1.175,0.35,10,0,11.525,0.825,0.7,0,1.525,13.158625,0.067025,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.746Ge0.254,Al2O3,128,1423,29.762,67.81,65.855876,1320.59202,11.762,4,128.952,1.92794,1.254,0.508,10,0,11.762,0.746,1.016,0,1.762,14.10149,0.097282,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.724Ge0.276,Al2O3,125,1423,29.828,68.14,66.055944,1317.37188,11.828,4,128.688,1.93036,1.276,0.552,10,0,11.828,0.724,1.104,0,1.828,14.36406,0.105708,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.604Ge0.396,Al2O3,125,1423,30.188,69.94,67.147224,1299.80748,12.188,4,127.248,1.94356,1.396,0.792,10,0,12.188,0.604,1.584,0,2.188,15.79626,0.151668,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.542Ge0.458,Al2O3,124,1423,30.374,70.87,67.711052,1290.73254,12.374,4,126.504,1.95038,1.458,0.916,10,0,12.374,0.542,1.832,0,2.374,16.53623,0.175414,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.412Ge0.588,Al2O3,116,1423,30.764,72.82,68.893272,1271.70444,12.764,4,124.944,1.96468,1.588,1.176,10,0,12.764,0.412,2.352,0,2.764,18.08778,0.225204,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.201Ge0.799,Al2O3,115,1423,31.397,75.985,70.812106,1240.82037,13.397,4,122.412,1.98789,1.799,1.598,10,0,13.397,0.201,3.196,0,3.397,20.606065,0.306017,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.093Ge0.907,Al2O3,113,1423,31.721,77.605,71.794258,1225.01241,13.721,4,121.116,1.99977,1.907,1.814,10,0,13.721,0.093,3.628,0,3.721,21.895045,0.347381,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn,Al2O3,122.6036342,1423,50,80,118.71,505.08,14,5,139,1.96,2,2,10,0,14,0,4,0,4,33.285,0,0,141,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.995Ti0.005,Al2O3,97.64038655,1423,49.86,79.815,118.355785,512.2596,13.95,4.995,139.105,1.9579,2,1.99,9.96,0,13.95,0,3.98,0.04,4.02,33.202025,0,1.13E-07,141.265,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.99Ti0.01,Al2O3,62.94615873,1423,49.72,79.63,118.00157,519.4392,13.9,4.99,139.21,1.9558,2,1.98,9.92,0,13.9,0,3.96,0.08,4.04,33.11905,0,2.25E-07,141.53,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.978Ti0.022,Al2O3,47.17062796,1423,49.384,79.186,117.151454,536.67024,13.78,4.978,139.462,1.95076,2,1.956,9.824,0,13.78,0,3.912,0.176,4.088,32.91991,0,4.96E-07,142.166,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.96Ti0.04,Al2O3,42.59766427,1423,48.88,78.52,115.87628,562.5168,13.6,4.96,139.84,1.9432,2,1.92,9.68,0,13.6,0,3.84,0.32,4.16,32.6212,0,9.01E-07,143.12,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.941Ti0.059,Al2O3,40.50968247,1423,48.348,77.817,114.530263,589.79928,13.41,4.941,140.239,1.93522,2,1.882,9.528,0,13.41,0,3.764,0.472,4.236,32.305895,0,1.33E-06,144.127,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn,Y2O3,84.69310847,1423,50,80,118.71,505.08,14,5,139,1.96,2,2,10,0,14,0,4,0,4,33.285,0,0,141,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Sn0.995Ti0.005,Y2O3,75.7322488,1423,49.86,79.815,118.355785,512.2596,13.95,4.995,139.105,1.9579,2,1.99,9.96,0,13.95,0,3.98,0.04,4.02,33.202025,0,1.13E-07,141.265,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Sn0.988Ti0.012,Y2O3,48.0288049,1423,49.664,79.556,117.859884,522.31104,13.88,4.988,139.252,1.95496,2,1.976,9.904,0,13.88,0,3.952,0.096,4.048,33.08586,0,2.70E-07,141.636,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Sn0.98Ti0.02,Y2O3,33.21592478,1423,49.44,79.26,117.29314,533.7984,13.8,4.98,139.42,1.9516,2,1.96,9.84,0,13.8,0,3.92,0.16,4.08,32.9531,0,4.51E-07,142.06,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Sn0.967Ti0.033,Y2O3,29.25786351,1423,49.076,78.779,116.372181,552.46536,13.67,4.967,139.693,1.94614,2,1.934,9.736,0,13.67,0,3.868,0.264,4.132,32.737365,0,7.44E-07,142.749,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Sn0.953Ti0.047,Y2O3,25.68635499,1423,48.684,78.261,115.380379,572.56824,13.53,4.953,139.987,1.94026,2,1.906,9.624,0,13.53,0,3.812,0.376,4.188,32.505035,0,1.06E-06,143.491,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Sn0.942Ti0.058,Y2O3,24.47744487,1423,48.376,77.854,114.601106,588.36336,13.42,4.942,140.218,1.93564,2,1.884,9.536,0,13.42,0,3.768,0.464,4.232,32.32249,0,1.31E-06,144.074,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Sn,Er2O3,81.5633745,1423,50,80,118.71,505.08,14,5,139,1.96,2,2,10,0,14,0,4,0,4,33.285,0,0,141,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Sn0.996Ti0.004,Er2O3,72.24879669,1423,49.888,79.852,118.426628,510.82368,13.96,4.996,139.084,1.95832,2,1.992,9.968,0,13.96,0,3.984,0.032,4.016,33.21862,0,9.01E-08,141.212,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Sn0.989Ti0.011,Er2O3,52.18088877,1423,49.692,79.593,117.930727,520.87512,13.89,4.989,139.231,1.95538,2,1.978,9.912,0,13.89,0,3.956,0.088,4.044,33.102455,0,2.48E-07,141.583,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Sn0.981Ti0.019,Er2O3,40.14700944,1423,49.468,79.297,117.363983,532.36248,13.81,4.981,139.399,1.95202,2,1.962,9.848,0,13.81,0,3.924,0.152,4.076,32.969695,0,4.28E-07,142.007,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Sn0.975Ti0.025,Er2O3,33.644267,1423,49.3,79.075,116.938925,540.978,13.75,4.975,139.525,1.9495,2,1.95,9.8,0,13.75,0,3.9,0.2,4.1,32.870125,0,5.63E-07,142.325,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Sn0.961Ti0.039,Er2O3,24.84161039,1423,48.908,78.557,115.947123,561.08088,13.61,4.961,139.819,1.94362,2,1.922,9.688,0,13.61,0,3.844,0.312,4.156,32.637795,0,8.79E-07,143.067,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Sn0.951Ti0.049,Er2O3,24.33118167,1423,48.628,78.187,115.238693,575.44008,13.51,4.951,140.029,1.93942,2,1.902,9.608,0,13.51,0,3.804,0.392,4.196,32.471845,0,1.10E-06,143.597,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Sn0.94Ti0.06,Er2O3,23.12227156,1423,48.32,77.78,114.45942,591.2352,13.4,4.94,140.26,1.9348,2,1.88,9.52,0,13.4,0,3.76,0.48,4.24,32.2893,0,1.35E-06,144.18,32,66.2,76.50324,740.88,10.8,3.6,115.2,2.56,2,2.4,0,4.8,9.2,0,1.2,0,0.8,2,17.697,0,0,84.8
Cu0.94Ti0.06,Si1O2,27,1423,28.58,62.74,62.60526,1392.7638,10.58,4,133.68,1.8784,1.06,0,9.52,0,10.58,0.94,0,0.48,1.42,11.4072,0,1.35E-06,223.14,10,84,20.0281,598.8666667,15.33333333,2.333333333,81,2.926666667,2,3.333333333,0,0,5.333333333,0,2.666666667,0,0,2.666666667,12.88333333,0.257666667,0,83.66666667
Cu0.94Ti0.06,Al2O3,21,1423,28.58,62.74,62.60526,1392.7638,10.58,4,133.68,1.8784,1.06,0,9.52,0,10.58,0.94,0,0.48,1.42,11.4072,0,1.35E-06,223.14,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.94Ti0.06,Ti2O3,21,1423,28.58,62.74,62.60526,1392.7638,10.58,4,133.68,1.8784,1.06,0,9.52,0,10.58,0.94,0,0.48,1.42,11.4072,0,1.35E-06,223.14,13.6,69.4,28.74644,809.28,11.2,2.8,103.6,2.68,2,2.4,0.8,0,5.2,0,1.2,3.2,0,4.4,12.139,0,9.01E-06,84.8
Cu0.94Ti0.06,Mg1O1,26,1423,28.58,62.74,62.60526,1392.7638,10.58,4,133.68,1.8784,1.06,0,9.52,0,10.58,0.94,0,0.48,1.42,11.4072,0,1.35E-06,223.14,10,77.5,20.1522,488.9,9,2.5,103.5,2.375,2,2,0,0,4,0,1,0,0,1,15.9975,0,0,103
Cu0.425Pd0.425Ti0.15,Al2O3,34,1423,35.175,60,79.4156,1645.1235,9.525,4.425,139.175,1.9735,0.725,0,8.8,0,9.525,0.425,0,1.2,1.625,13.3325,0,3.38E-06,220.35,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.425Pd0.425Ti0.15,Si1O2,36,1423,35.175,60,79.4156,1645.1235,9.525,4.425,139.175,1.9735,0.725,0,8.8,0,9.525,0.425,0,1.2,1.625,13.3325,0,3.38E-06,220.35,10,84,20.0281,598.8666667,15.33333333,2.333333333,81,2.926666667,2,3.333333333,0,0,5.333333333,0,2.666666667,0,0,2.666666667,12.88333333,0.257666667,0,83.66666667
Cu0.425Pd0.425Ti0.15,Al2O3,31,1423,35.175,60,79.4156,1645.1235,9.525,4.425,139.175,1.9735,0.725,0,8.8,0,9.525,0.425,0,1.2,1.625,13.3325,0,3.38E-06,220.35,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Si,Al2O3,80,1703,14,78,28.0855,1687,14,3,111,1.9,2,2,0,0,4,0,4,0,4,20.44,0.773,0,227,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Si,Si1O2,92,1703,14,78,28.0855,1687,14,3,111,1.9,2,2,0,0,4,0,4,0,4,20.44,0.773,0,227,10,84,20.0281,598.8666667,15.33333333,2.333333333,81,2.926666667,2,3.333333333,0,0,5.333333333,0,2.666666667,0,0,2.666666667,12.88333333,0.257666667,0,83.66666667
Si,Y2O3,63,1703,14,78,28.0855,1687,14,3,111,1.9,2,2,0,0,4,0,4,0,4,20.44,0.773,0,227,20.4,57,45.16198,752.48,10.8,3.2,115.6,2.552,2,2.4,0.4,0,4.8,0,1.2,3.6,0,4.8,18.409,0,0,84.8
Si,Al2O3,95,1723,14,78,28.0855,1687,14,3,111,1.9,2,2,0,0,4,0,4,0,4,20.44,0.773,0,227,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Si,Zr1O2,90,1723,14,78,28.0855,1687,14,3,111,1.9,2,2,0,0,4,0,4,0,4,20.44,0.773,0,227,18.66666667,72.66666667,41.07426667,745.8666667,12,3,102.3333333,2.736666667,2,2.666666667,0.666666667,0,5.333333333,0,1.333333333,2.666666667,0,4,13.80166667,0,0,72.66666667
Si,Mg1O1,101,1723,14,78,28.0855,1687,14,3,111,1.9,2,2,0,0,4,0,4,0,4,20.44,0.773,0,227,10,77.5,20.1522,488.9,9,2.5,103.5,2.375,2,2,0,0,4,0,1,0,0,1,15.9975,0,0,103
Si,Be1O1,88,1723,14,78,28.0855,1687,14,3,111,1.9,2,2,0,0,4,0,4,0,4,20.44,0.773,0,227,6,77,12.505791,807.4,9,2,81,2.505,2,2,0,0,4,0,1,0,0,1,8.4975,0,0,103
Si,Al2O3,100,1723,14,78,28.0855,1687,14,3,111,1.9,2,2,0,0,4,0,4,0,4,20.44,0.773,0,227,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Si,Zr1O2,96,1723,14,78,28.0855,1687,14,3,111,1.9,2,2,0,0,4,0,4,0,4,20.44,0.773,0,227,18.66666667,72.66666667,41.07426667,745.8666667,12,3,102.3333333,2.736666667,2,2.666666667,0.666666667,0,5.333333333,0,1.333333333,2.666666667,0,4,13.80166667,0,0,72.66666667
Si,Mg1O1,95,1723,14,78,28.0855,1687,14,3,111,1.9,2,2,0,0,4,0,4,0,4,20.44,0.773,0,227,10,77.5,20.1522,488.9,9,2.5,103.5,2.375,2,2,0,0,4,0,1,0,0,1,15.9975,0,0,103
