Metal,Ceramic,Testing temperature (K),Wetting angle
Ag0.96Ti0.04,Y2O3,1423,71
Ag0.96Ti0.04,Er2O3,1423,71
Ag0.96Ti0.04,Al2O3,1423,67
Au0.92Ti0.08,Y2O3,1423,65
Au0.92Ti0.08,Cd2O3,1423,59
Au0.92Ti0.08,Er2O3,1423,67
Au0.92Ti0.08,Tm2O3,1423,67
Au0.92Ti0.08,Yb2O3,1423,54
Au0.92Ti0.08,Lu2O3,1423,63
Au0.92Ti0.08,Al2O3,1423,62
Cu0.43Ti0.57,Y2O3,1423,57
Cu0.43Ti0.57,Cd2O3,1423,49
Cu0.43Ti0.57,Tb2O3,1423,53
Cu0.43Ti0.57,Dy2O3,1423,60
Cu0.43Ti0.57,Ho2O3,1423,48
Cu0.43Ti0.57,Er2O3,1423,59
Cu0.43Ti0.57,Tm2O3,1423,58
Cu0.43Ti0.57,Yb2O3,1423,29
Cu0.43Ti0.57,Lu2O3,1423,60
Cu0.43Ti0.57,Al2O3,1423,2
Sn0.96Ti0.04,Y2O3,1423,31
Sn0.96Ti0.04,Cd2O3,1423,29
Sn0.96Ti0.04,Dy2O3,1423,32
Sn0.96Ti0.04,Ho2O3,1423,32
Sn0.96Ti0.04,Er2O3,1423,35
Sn0.96Ti0.04,Tm2O3,1423,31
Sn0.96Ti0.04,Yb2O3,1423,25
Sn0.96Ti0.04,Lu2O3,1423,41
Sn0.96Ti0.04,Al2O3,1423,59
Ge0.95Ti0.05,Y2O3,1423,24
Ge0.95Ti0.05,Cd2O3,1423,22
Ge0.95Ti0.05,Tb2O3,1423,27
Ge0.95Ti0.05,Dy2O3,1423,28
Ge0.95Ti0.05,Ho2O3,1423,29
Ge0.95Ti0.05,Er2O3,1423,32
Ge0.95Ti0.05,Tm2O3,1423,27
Ge0.95Ti0.05,Yb2O3,1423,22
Ge0.95Ti0.05,Lu2O3,1423,24
Ge0.95Ti0.05,Al2O3,1423,39
Cu,Al2O3,1423,129.122807
Cu0.992Ti0.008,Al2O3,1423,87.36842105
Cu0.979Ti0.021,Al2O3,1423,68.42105263
Cu0.974Ti0.026,Al2O3,1423,49.12280702
Cu0.95Ti0.05,Al2O3,1423,20.35087719
Cu0.941Ti0.059,Al2O3,1423,9.473684211
Cu0.924Ti0.076,Al2O3,1423,3.50877193
Cu0.898Ti0.102,Al2O3,1423,2.807017544
Cu,Y2O3,1423,141.0526316
Cu0.954Ti0.046,Y2O3,1423,112.6315789
Cu0.897Ti0.103,Y2O3,1423,80.70175439
Cu0.826Ti0.174,Y2O3,1423,71.57894737
Cu0.748Ti0.252,Y2O3,1423,61.05263158
Cu0.631Ti0.369,Y2O3,1423,55.78947368
Cu0.566Ti0.434,Y2O3,1423,55.78947368
Cu0.511Ti0.489,Y2O3,1423,55.0877193
Cu0.406Ti0.594,Y2O3,1423,54.38596491
Cu,Er2O3,1423,144.5614035
Cu0.963Ti0.037,Er2O3,1423,118.9473684
Cu0.903Ti0.097,Er2O3,1423,91.57894737
Cu0.848Ti0.152,Er2O3,1423,81.40350877
Cu0.733Ti0.267,Er2O3,1423,68.77192982
Cu0.663Ti0.337,Er2O3,1423,64.56140351
Cu0.577Ti0.423,Er2O3,1423,63.15789474
Cu0.496Ti0.504,Er2O3,1423,62.45614035
Cu0.412Ti0.588,Er2O3,1423,62.10526316
Cu,Y2O3,1423,137
Cu0.877Ge0.123,Y2O3,1423,110
Cu0.843Ge0.157,Y2O3,1423,90
Cu0.726Ge0.274,Y2O3,1423,79
Cu0.647Ge0.353,Y2O3,1423,77
Cu0.563Ge0.437,Y2O3,1423,68
Cu0.491Ge0.509,Y2O3,1423,62
Cu0.258Ge0.742,Y2O3,1423,56
Cu0.049Ge0.951,Y2O3,1423,50
Ge,Y2O3,1423,48
Cu,Al2O3,1423,137
Cu0.825Ge0.175,Al2O3,1423,132
Cu0.746Ge0.254,Al2O3,1423,128
Cu0.724Ge0.276,Al2O3,1423,125
Cu0.604Ge0.396,Al2O3,1423,125
Cu0.542Ge0.458,Al2O3,1423,124
Cu0.412Ge0.588,Al2O3,1423,116
Cu0.201Ge0.799,Al2O3,1423,115
Cu0.093Ge0.907,Al2O3,1423,113
Sn,Al2O3,1423,122.6036342
Sn0.995Ti0.005,Al2O3,1423,97.64038655
Sn0.99Ti0.01,Al2O3,1423,62.94615873
Sn0.978Ti0.022,Al2O3,1423,47.17062796
Sn0.96Ti0.04,Al2O3,1423,42.59766427
Sn0.941Ti0.059,Al2O3,1423,40.50968247
Sn,Y2O3,1423,84.69310847
Sn0.995Ti0.005,Y2O3,1423,75.7322488
Sn0.988Ti0.012,Y2O3,1423,48.0288049
Sn0.98Ti0.02,Y2O3,1423,33.21592478
Sn0.967Ti0.033,Y2O3,1423,29.25786351
Sn0.953Ti0.047,Y2O3,1423,25.68635499
Sn0.942Ti0.058,Y2O3,1423,24.47744487
Sn,Er2O3,1423,81.5633745
Sn0.996Ti0.004,Er2O3,1423,72.24879669
Sn0.989Ti0.011,Er2O3,1423,52.18088877
Sn0.981Ti0.019,Er2O3,1423,40.14700944
Sn0.975Ti0.025,Er2O3,1423,33.644267
Sn0.961Ti0.039,Er2O3,1423,24.84161039
Sn0.951Ti0.049,Er2O3,1423,24.33118167
Sn0.94Ti0.06,Er2O3,1423,23.12227156
Cu0.94Ti0.06,Si1O2,1423,27
Cu0.94Ti0.06,Al2O3,1423,21
Cu0.94Ti0.06,Ti2O3,1423,21
Cu0.94Ti0.06,Mg1O1,1423,26
Cu0.425Pd0.425Ti0.15,Al2O3,1423,34
Cu0.425Pd0.425Ti0.15,Si1O2,1423,36
Cu0.425Pd0.425Ti0.15,Al2O3,1423,31
Si,Al2O3,1703,80
Si,Si1O2,1703,92
Si,Y2O3,1703,63
Si,Al2O3,1723,95
Si,Zr1O2,1723,90
Si,Mg1O1,1723,101
Si,Be1O1,1723,88
Si,Al2O3,1723,100
Si,Zr1O2,1723,96
Si,Mg1O1,1723,95
Si,Be1O1,1723,76
Si,Ti1O2,1723,107
Ni,Zr1O2,1773,118
Ni,Al2O3,1773,128
Ni,Be1O1,1773,128
Ni,Mg1O1,1773,132
Ni,Ti1O2,1773,104
Ni,Zr1O2,1773,131
Ni,Th1O2,1773,132
Ni,Al2O3,1773,133
Ni,Be1O1,1773,152
Ni,Mg1O1,1773,152
Ni,Ti1O2,1773,143
Ni,Zr1O2,1773,120
Ni,Th1O2,1773,134
Ni,Al2O3,1773,141
Ni,Be1O1,1773,146
Ni,Ti1O2,1773,121
Ni,Al2O3,1755,112
Ni0.97Al0.03,Al2O3,1755,113
Ni0.92Al0.08,Al2O3,1755,134
Ni0.75Al0.25,Al2O3,1670,94
Ni,Al2O3,1773,108
Ni,Al2O3,1773,110
